preprocessed_text,sentiment_score
pada saat guna pertama saya keliru masuk password recovery data cepat sinkronisasi email dan sms dengan aplikasi jadi data lebih aman moga lebih baik lagi depan,0.9186
mudah guna,0.6124
maaf kak in kenapa ya saya atur tanggal lahir dn tanggal lahir nya tnggl tapi tidak bisa dia selalu ke tnggl terus tolong bantu begitu bulan dan tahun susah di atur,-0.6124
mantap,0.7184
transaksi cepat aman,0.9001
mantappp,0.0
mudah transaksi ,0.6124
tidak bisa login taek ada potong saya tidak kasih tahu saya mau pindah bca saja lah ajig,-0.25
luar biasa,-0.4588
mantap,0.7184
untuk saran alamgkah baik kalau ada pilih print mutasi by pdf biar lbh gampang bagi kita yang punya usaha untuk lihat rincian transaksi,0.7184
baik sekali,0.7184
bagus,0.7184
pandang sungai mahakam ada kapal tongkang batu bara lewat sini,-0.25
recommend,0.3612
bagus,0.7184
kenapa kode otp yang gagal kadaluarsa tidak dapat dimasukin kembali,-0.8402
guna baru dan masih saja lancar jaya tingkat lagi dan tahan yang sudah baik,0.7184
kak kenapa pas saya masuk rekam kakak tidk bisa kirim tapi ada tulis error signature not valid itu kenapaya,-0.7691
tampil bagus mudah transfer ke dompet digital gratis terimakasih brimo,0.8807
user interface yang sekarang mudah paham aplikasi ringan tidak banyak fitur yang tidak perlu nyaman,0.875
aplikasi klas bri kbagus busuk wong tidak ada yang salah log in kbagus diblbagusir,-0.9186
yoogbsbdndnsn,0.0
easy to use,0.4404
bagus,0.7184
bismillah undi dapat mobil,0.0
dalam operasional transaksi seperti bayar cicil dengan transfer bayar tbagusn listrik dan lain lebih mudah dn cepat,0.9001
terima kasih bri,0.0
mantap,0.7184
hampir semua sudah bagus namun untuk isi menu riwayat transaksi tidak langsung terupdate telah laku transaksi sehingga untuk lihat kembali pada list riwayat transaksi harus tunggu lama dan kadang suka list transaksi mohon ditindaklanjuti terima kasih,0.9186
bagus,0.7184
trimaksih,0.0
apk brimo the best mau bayar apa bisa pakai apk ini,0.6369
kbagus nggk bisa yah selalu ada tulis e kyc nyata gagal silah ulang registrasi padahal sudah ulang ulang kali,-0.7906
mudah di guna,0.6124
bagus transaksi sangat mudah,0.875
lebih gampang,0.0
mantap,0.7184
moga bri tingkat security dan beri ilmu agar tidak banyak nasabah yang tipu,-0.5574
tidak bisa daftar mau cek status rekening di call center saja tidak bisa guna call center apa tahun lalu call center tidak bisa cek status rekening tapi kalau sudah pasti sudah tidak aktif eh pas ke kantor cabang nyata aktif tapi cabang kecil juga tidak bisa mau minta kartu atm tidak bisa juga cuma bisa cek status rekening sama cek saldo hri ini telah lebih dari tahun telepon call center info masih sama tidak ada baik dari sisi layan mana lain sudah digital tanpa harus ke cabang sudah bisa cek status rekening dan request lain ini bri masih kolot,-0.6124
transaction went well,0.2732
transksi cepat puas saya,0.875
tidak puas dengan layan,0.6124
suka banget dengan process ini,0.7184
saat sedang laku registrasi brimo tetapi selalu gagal di rekam video detik padahal sudah ikut atur rekam yang minta koneksi internet stabil video terang dengan latar polos suara kencang saat ucap yang minta device dengan ios dan apps brimo versi baru di tetapi selalu gagal dengan tulis error signature not valid,-0.8924
gabisa daftar gagal melulu,-0.9001
bagus,0.7184
baik,0.7184
keren,0.7184
sangat bantu namun perlu tingkat dari segi aman,0.7184
semenjak ada brimo semua jadi mudah dalam transaksi,0.6124
